Name,EF,year,field
J MEDIA ECON,0.001,2005,economics
DEFENCE PEACE ECON,0.001,2005,economics
B INDONES ECON STUD,0.001,2005,economics
APPL ECON,0.005,2005,economics
TIJDSCHR ECON SOC GE,0.001,2005,economics
JPN ECON REV,0.001,2005,economics
EMERG MARK FINANC TR,0.001,2005,economics
J ECON EDUC,0.001,2005,economics
J INST THEOR ECON,0.001,2005,economics
OPEN ECON REV,0.001,2005,economics
J AFR ECON,0.001,2005,economics
J MACROECON,0.001,2005,economics
ECON MODEL,0.001,2005,economics
DESARROLLO ECON,0.001,2005,economics
S AFR J ECON,0.001,2005,economics
MANCH SCH,0.001,2005,economics
ECON REC,0.001,2005,economics
POST-COMMUNIST ECON,0.001,2005,economics
EASTERN EUR ECON,0.001,2005,economics
DEV ECON,0.001,2005,economics
REV ETUD COMP EST-O,0.001,2005,economics
J ECON ISSUES,0.001,2005,economics
J POLICY MODEL,0.001,2005,economics
FUTURES,0.001,2005,economics
JPN WORLD ECON,0.001,2005,economics
GENEVA PAP R I THEOR,0.001,2005,economics
J TRANSP ECON POLICY,0.001,2005,economics
J POST KEYNESIAN EC,0.001,2005,economics
APPL ECON LETT,0.001,2005,economics
NEW ENGL ECON REV,0.001,2005,economics
POLIT EKON,0.001,2005,economics
AM J ECON SOCIOL,0.001,2005,economics
ECONOMIST-NETHERLAND,0.001,2005,economics
TRIMEST ECON,0.001,2005,economics
JAHRB NATL STAT,0.001,2005,economics
HITOTSUB J ECON,0.001,2005,economics
EKON SAMF TIDSKR,0.001,2005,economics
EKON CAS,0.001,2005,economics
Q J ECON,0.073,2006,economics
J ECON LIT,0.023,2006,economics
J POLIT ECON,0.049,2006,economics
ECONOMETRICA,0.06,2006,economics
J FINANC ECON,0.057,2006,economics
REV ECON STUD,0.032,2006,economics
J ECON PERSPECT,0.028,2006,economics
J ACCOUNT ECON,0.015,2006,economics
AM ECON REV,0.106,2006,economics
BROOKINGS PAP ECO AC,0.005,2006,economics
J ECON GROWTH,0.007,2006,economics
J LABOR ECON,0.016,2006,economics
J MONETARY ECON,0.027,2006,economics
REV ECON STAT,0.03,2006,economics
RAND J ECON,0.016,2006,economics
ECON J,0.027,2006,economics
J BUS ECON STAT,0.014,2006,economics
J ECON THEORY,0.034,2006,economics
J FINANC QUANT ANAL,0.011,2006,economics
INT ECON REV,0.017,2006,economics
J ECONOMETRICS,0.027,2006,economics
EXP ECON,0.002,2006,economics
J IND ECON,0.007,2006,economics
J INT ECON,0.018,2006,economics
ECON POLICY,0.004,2006,economics
EUR ECON REV,0.022,2006,economics
J ECON GEOGR,0.005,2006,economics
REV ECON DYNAM,0.01,2006,economics
J PUBLIC ECON,0.024,2006,economics
J HEALTH ECON,0.013,2006,economics
WORLD BANK ECON REV,0.004,2006,economics
MATH FINANC,0.006,2006,economics
J LAW ECON ORGAN,0.005,2006,economics
J LAW ECON,0.006,2006,economics
GAME ECON BEHAV,0.016,2006,economics
IND CORP CHANGE,0.007,2006,economics
J ECON MANAGE STRAT,0.005,2006,economics
J APPL ECONOM,0.008,2006,economics
J HUM RESOUR,0.008,2006,economics
ECON SOC,0.005,2006,economics
J MONEY CREDIT BANK,0.009,2006,economics
J URBAN ECON,0.009,2006,economics
J RISK UNCERTAINTY,0.004,2006,economics
J DEV ECON,0.011,2006,economics
SCAND J ECON,0.005,2006,economics
J ENVIRON ECON MANAG,0.008,2006,economics
ECONOMET THEOR,0.008,2006,economics
OXFORD ECON PAP,0.005,2006,economics
WORLD BANK RES OBSER,0.001,2006,economics
JCMS-J COMMON MARK S,0.004,2006,economics
ECON GEOGR,0.002,2006,economics
HEALTH ECON,0.01,2006,economics
INT J IND ORGAN,0.008,2006,economics
QUANT FINANC,0.005,2006,economics
WORLD DEV,0.015,2006,economics
ECONOMICA,0.004,2006,economics
ENERG J,0.002,2006,economics
J ECON HIST,0.004,2006,economics
EXPLOR ECON HIST,0.002,2006,economics
REV INT POLIT ECON,0.003,2006,economics
J REGUL ECON,0.003,2006,economics
GENEVA PAP R I THEOR,0.001,2006,economics
J ECON DYN CONTROL,0.01,2006,economics
CAN J ECON,0.006,2006,economics
RESOUR ENERGY ECON,0.002,2006,economics
LABOUR ECON,0.004,2006,economics
LAND ECON,0.004,2006,economics
MACROECON DYN,0.003,2006,economics
J COMP ECON,0.004,2006,economics
J ECON BEHAV ORGAN,0.008,2006,economics
J MATH ECON,0.004,2006,economics
NATL TAX J,0.004,2006,economics
J BANK FINANC,0.01,2006,economics
ECON THEOR,0.009,2006,economics
J TRANSP ECON POLICY,0.002,2006,economics
J PROD ANAL,0.003,2006,economics
ECOL ECON,0.01,2006,economics
OXFORD REV ECON POL,0.003,2006,economics
REAL ESTATE ECON,0.002,2006,economics
ECON INQ,0.005,2006,economics
ENVIRON RESOUR ECON,0.006,2006,economics
REV INCOME WEALTH,0.002,2006,economics
J POPUL ECON,0.003,2006,economics
J REAL ESTATE FINANC,0.003,2006,economics
IMF STAFF PAPERS,0.003,2006,economics
ECON EDUC REV,0.004,2006,economics
REG SCI URBAN ECON,0.003,2006,economics
OXFORD B ECON STAT,0.003,2006,economics
J DEV STUD,0.003,2006,economics
AM J AGR ECON,0.008,2006,economics
ECON DEV CULT CHANGE,0.003,2006,economics
POST-SOV AFF,0.001,2006,economics
FEM ECON,0.001,2006,economics
J HOUS ECON,0.001,2006,economics
ECON LETT,0.017,2006,economics
J ECON SURV,0.002,2006,economics
INSUR MATH ECON,0.004,2006,economics
WORK EMPLOY SOC,0.003,2006,economics
INT J GAME THEORY,0.002,2006,economics
PUBLIC CHOICE,0.005,2006,economics
ENERG ECON,0.003,2006,economics
CHINA ECON REV,0.002,2006,economics
SOC CHOICE WELFARE,0.003,2006,economics
ECON TRANSIT,0.002,2006,economics
J ECON,0.002,2006,economics
J ECON PSYCHOL,0.002,2006,economics
NEW POLIT ECON,0.001,2006,economics
WORLD ECON,0.004,2006,economics
SCOT J POLIT ECON,0.002,2006,economics
INT J FORECASTING,0.002,2006,economics
INT TAX PUBLIC FINAN,0.002,2006,economics
INF ECON POLICY,0.001,2006,economics
AGR ECON,0.003,2006,economics
STUD NONLINEAR DYN E,0.001,2006,economics
FOOD POLICY,0.002,2006,economics
ECON HIST REV,0.001,2006,economics
KYKLOS,0.001,2006,economics
J RISK INSUR,0.001,2006,economics
SOUTH ECON J,0.003,2006,economics
ECON PHILOS,0.001,2006,economics
REV IND ORGAN,0.002,2006,economics
J EVOL ECON,0.001,2006,economics
EUR REV AGRIC ECON,0.001,2006,economics
INT REV LAW ECON,0.001,2006,economics
SMALL BUS ECON,0.002,2006,economics
J INST THEOR ECON,0.001,2006,economics
FISC STUD,0.001,2006,economics
J AGR RESOUR ECON,0.001,2006,economics
J MACROECON,0.001,2006,economics
J AGR ECON,0.001,2006,economics
CONTEMP ECON POLICY,0.001,2006,economics
ECON DEV Q,0.001,2006,economics
EUROPE-ASIA STUD,0.002,2006,economics
B INDONES ECON STUD,0.001,2006,economics
REV AGR ECON,0.001,2006,economics
EURASIAN GEOGR ECON,0.001,2006,economics
TIJDSCHR ECON SOC GE,0.001,2006,economics
MANCH SCH,0.001,2006,economics
CAMBRIDGE J ECON,0.001,2006,economics
THEOR DECIS,0.001,2006,economics
DEFENCE PEACE ECON,0.001,2006,economics
AUST J AGR RESOUR EC,0.001,2006,economics
JPN WORLD ECON,0.001,2006,economics
J JPN INT ECON,0.001,2006,economics
ECON REC,0.001,2006,economics
APPL ECON,0.005,2006,economics
ECON MODEL,0.001,2006,economics
JPN ECON REV,0.001,2006,economics
OPEN ECON REV,0.001,2006,economics
EMERG MARK FINANC TR,0.001,2006,economics
J AFR ECON,0.001,2006,economics
DEV ECON,0.001,2006,economics
EASTERN EUR ECON,0.001,2006,economics
REV WORLD ECON,0.001,2006,economics
NEW ENGL ECON REV,0.001,2006,economics
POST-COMMUNIST ECON,0.001,2006,economics
ECONOMIST-NETHERLAND,0.001,2006,economics
DESARROLLO ECON,0.001,2006,economics
FUTURES,0.001,2006,economics
J ECON EDUC,0.001,2006,economics
J POLICY MODEL,0.001,2006,economics
J MEDIA ECON,0.001,2006,economics
J POST KEYNESIAN EC,0.001,2006,economics
APPL ECON LETT,0.002,2006,economics
S AFR J ECON,0.001,2006,economics
J ECON ISSUES,0.001,2006,economics
REV ETUD COMP EST-O,0.001,2006,economics
POLIT EKON,0.001,2006,economics
HITOTSUB J ECON,0.001,2006,economics
AM J ECON SOCIOL,0.001,2006,economics
JAHRB NATL STAT,0.001,2006,economics
EKON CAS,0.001,2006,economics
TRIMEST ECON,0.001,2006,economics
EKON SAMF TIDSKR,0.001,2006,economics
GENEVA RISK INS REV,0.001,2006,economics
Q J ECON,0.058,2007,economics
J POLIT ECON,0.054,2007,economics
J ECON LIT,0.019,2007,economics
ECONOMETRICA,0.062,2007,economics
REV ECON STUD,0.038,2007,economics
AM ECON REV,0.11,2007,economics
J EUR ECON ASSOC,0.017,2007,economics
J FINANC ECON,0.042,2007,economics
J ECON PERSPECT,0.024,2007,economics
J ECON GROWTH,0.008,2007,economics
REV ECON STAT,0.031,2007,economics
BROOKINGS PAP ECO AC,0.004,2007,economics
J LABOR ECON,0.012,2007,economics
J ECONOMETRICS,0.034,2007,economics
ECON J,0.028,2007,economics
EXP ECON,0.004,2007,economics
ECONOMET J,0.003,2007,economics
RAND J ECON,0.015,2007,economics
J MONETARY ECON,0.023,2007,economics
ECONOMET REV,0.002,2007,economics
J ACCOUNT ECON,0.009,2007,economics
J ECON THEORY,0.029,2007,economics
J BUS ECON STAT,0.011,2007,economics
J LAW ECON,0.007,2007,economics
J LAW ECON ORGAN,0.006,2007,economics
INT ECON REV,0.015,2007,economics
J INT ECON,0.016,2007,economics
J PUBLIC ECON,0.026,2007,economics
GAME ECON BEHAV,0.019,2007,economics
J FINANC QUANT ANAL,0.008,2007,economics
J IND ECON,0.005,2007,economics
J HUM RESOUR,0.009,2007,economics
J APPL ECONOM,0.01,2007,economics
REV ECON DYNAM,0.009,2007,economics
EUR ECON REV,0.017,2007,economics
MATH FINANC,0.006,2007,economics
WORLD BANK ECON REV,0.004,2007,economics
J RISK UNCERTAINTY,0.005,2007,economics
ECON POLICY,0.003,2007,economics
J HEALTH ECON,0.011,2007,economics
J DEV ECON,0.013,2007,economics
J URBAN ECON,0.009,2007,economics
ECON SOC,0.005,2007,economics
J ECON MANAGE STRAT,0.005,2007,economics
ECONOMET THEOR,0.009,2007,economics
PORT ECON J,0.001,2007,economics
J ECON GEOGR,0.004,2007,economics
J ENVIRON ECON MANAG,0.009,2007,economics
J MONEY CREDIT BANK,0.01,2007,economics
IND CORP CHANGE,0.006,2007,economics
SCAND J ECON,0.005,2007,economics
WORLD BANK RES OBSER,0.001,2007,economics
J ECON BEHAV ORGAN,0.011,2007,economics
POST-SOV AFF,0.002,2007,economics
WORLD DEV,0.015,2007,economics
OXFORD ECON PAP,0.004,2007,economics
RESOUR ENERGY ECON,0.002,2007,economics
ECON INQ,0.006,2007,economics
ECON GEOGR,0.002,2007,economics
LAND ECON,0.004,2007,economics
J FOREST ECON,0.001,2007,economics
J ECON HIST,0.004,2007,economics
HEALTH ECON,0.009,2007,economics
J ECON DYN CONTROL,0.01,2007,economics
ENERG J,0.003,2007,economics
REG SCI URBAN ECON,0.004,2007,economics
JCMS-J COMMON MARK S,0.004,2007,economics
J POLICY ANAL MANAG,0.004,2007,economics
AGR ECON-BLACKWELL,0.003,2007,economics
EMPIR ECON,0.002,2007,economics
ECON THEOR,0.01,2007,economics
INT J IND ORGAN,0.006,2007,economics
J ECON SURV,0.002,2007,economics
CAMB J ECON,0.002,2007,economics
J COMP ECON,0.004,2007,economics
ECON DEV CULT CHANGE,0.003,2007,economics
J POPUL ECON,0.003,2007,economics
INT J FORECASTING,0.004,2007,economics
ECOL ECON,0.012,2007,economics
OXFORD B ECON STAT,0.003,2007,economics
ENERG ECON,0.004,2007,economics
J BANK FINANC,0.011,2007,economics
J TRANSP ECON POLICY,0.002,2007,economics
LABOUR ECON,0.003,2007,economics
MACROECON DYN,0.002,2007,economics
ECONOMICA,0.003,2007,economics
J REGIONAL SCI,0.002,2007,economics
ECON HIST REV,0.002,2007,economics
J MATH ECON,0.004,2007,economics
AM J AGR ECON,0.008,2007,economics
REV INT POLIT ECON,0.003,2007,economics
ENVIRON RESOUR ECON,0.005,2007,economics
IMF STAFF PAPERS,0.002,2007,economics
SOC CHOICE WELFARE,0.004,2007,economics
CAN J ECON,0.004,2007,economics
QUANT FINANC,0.003,2007,economics
ECON EDUC REV,0.003,2007,economics
INT TAX PUBLIC FINAN,0.002,2007,economics
ECON PHILOS,0.001,2007,economics
J DEV STUD,0.003,2007,economics
ASTIN BULL,0.001,2007,economics
OXFORD REV ECON POL,0.002,2007,economics
WORK EMPLOY SOC,0.002,2007,economics
PUBLIC CHOICE,0.005,2007,economics
J ECON PSYCHOL,0.003,2007,economics
CESIFO ECON STUD,0.001,2007,economics
J PROD ANAL,0.002,2007,economics
EXPLOR ECON HIST,0.001,2007,economics
INT J GAME THEORY,0.002,2007,economics
ECON LETT,0.014,2007,economics
REV INCOME WEALTH,0.002,2007,economics
PAC ECON REV,0.001,2007,economics
INSUR MATH ECON,0.003,2007,economics
REV DEV ECON,0.001,2007,economics
FOOD POLICY,0.002,2007,economics
J EVOL ECON,0.001,2007,economics
THEOR DECIS,0.002,2007,economics
CHINA ECON REV,0.001,2007,economics
FEM ECON,0.001,2007,economics
ECON TRANSIT,0.001,2007,economics
J REGUL ECON,0.001,2007,economics
SOUTH ECON J,0.003,2007,economics
NATL TAX J,0.002,2007,economics
EUROPE-ASIA STUD,0.002,2007,economics
REAL ESTATE ECON,0.001,2007,economics
REV IND ORGAN,0.002,2007,economics
SMALL BUS ECON,0.003,2007,economics
STUD NONLINEAR DYN E,0.001,2007,economics
KYKLOS,0.001,2007,economics
EUR REV AGRIC ECON,0.001,2007,economics
WORLD ECON,0.003,2007,economics
NEW POLIT ECON,0.001,2007,economics
J HOUS ECON,0.001,2007,economics
INDEP REV,0.001,2007,economics
J MACROECON,0.001,2007,economics
ECON DEV Q,0.001,2007,economics
INT J TRANSP ECON,0.001,2007,economics
SCOT J POLIT ECON,0.001,2007,economics
J AGR ECON,0.001,2007,economics
CONTEMP ECON POLICY,0.001,2007,economics
REV WORLD ECON,0.001,2007,economics
AUST J AGR RESOUR EC,0.001,2007,economics
J RISK INSUR,0.001,2007,economics
J REAL ESTATE FINANC,0.001,2007,economics
DESARROLLO ECON,0.001,2007,economics
INT REV LAW ECON,0.001,2007,economics
J AFR ECON,0.001,2007,economics
APPL ECON,0.006,2007,economics
REV AGR ECON,0.001,2007,economics
J AGR RESOUR ECON,0.001,2007,economics
JPN ECON REV,0.001,2007,economics
EMERG MARK FINANC TR,0.001,2007,economics
MANCH SCH,0.001,2007,economics
TIJDSCHR ECON SOC GE,0.001,2007,economics
J MEDIA ECON,0.001,2007,economics
J JPN INT ECON,0.001,2007,economics
OPEN ECON REV,0.001,2007,economics
J INST THEOR ECON,0.001,2007,economics
FUTURES,0.001,2007,economics
DEFENCE PEACE ECON,0.001,2007,economics
B INDONES ECON STUD,0.001,2007,economics
INF ECON POLICY,0.001,2007,economics
ECON MODEL,0.001,2007,economics
FISC STUD,0.001,2007,economics
J ECON,0.001,2007,economics
POST-COMMUNIST ECON,0.001,2007,economics
ECON REC,0.001,2007,economics
JPN WORLD ECON,0.001,2007,economics
EUR J HIST ECON THOU,0.001,2007,economics
GENEVA RISK INS REV,0.001,2007,economics
J POLICY MODEL,0.001,2007,economics
APPL ECON LETT,0.003,2007,economics
EASTERN EUR ECON,0.001,2007,economics
DEV ECON,0.001,2007,economics
AM J ECON SOCIOL,0.001,2007,economics
REV ECON POLIT,0.001,2007,economics
INVEST ECON-SPAIN,0.001,2007,economics
J APPL ECON,0.001,2007,economics
J POST KEYNESIAN EC,0.001,2007,economics
S AFR J ECON,0.001,2007,economics
J ECON EDUC,0.001,2007,economics
JAHRB NATL STAT,0.001,2007,economics
TRIMEST ECON,0.001,2007,economics
J ECON ISSUES,0.001,2007,economics
ECONOMIST-NETHERLAND,0.001,2007,economics
POLIT EKON,0.001,2007,economics
REV ETUD COMP EST-O,0.001,2007,economics
EKON SAMF TIDSKR,0.001,2007,economics
HITOTSUB J ECON,0.001,2007,economics
EKON CAS,0.001,2007,economics
TRANSFORM BUS ECON,0.001,2007,economics
Q J ECON,0.054,2008,economics
J ECON LIT,0.018,2008,economics
J POLIT ECON,0.041,2008,economics
J ECON GROWTH,0.009,2008,economics
REV ECON STUD,0.031,2008,economics
J FINANC,0.058,2008,economics
J ECON PERSPECT,0.025,2008,economics
J FINANC ECON,0.047,2008,economics
AM ECON REV,0.092,2008,economics
BROOKINGS PAP ECO AC,0.005,2008,economics
J EUR ECON ASSOC,0.018,2008,economics
REV ECON STAT,0.03,2008,economics
QME-QUANT MARK ECON,0.002,2008,economics
J ACCOUNT ECON,0.012,2008,economics
J MONETARY ECON,0.029,2008,economics
J LABOR ECON,0.01,2008,economics
RAND J ECON,0.016,2008,economics
ECON POLICY,0.004,2008,economics
ECON J,0.024,2008,economics
J INT ECON,0.018,2008,economics
EXP ECON,0.004,2008,economics
J ECON THEORY,0.026,2008,economics
J HUM RESOUR,0.01,2008,economics
INT ECON REV,0.012,2008,economics
J FINANC QUANT ANAL,0.009,2008,economics
J MONEY CREDIT BANK,0.016,2008,economics
GAME ECON BEHAV,0.018,2008,economics
J LAW ECON,0.006,2008,economics
J PUBLIC ECON,0.024,2008,economics
REV ECON DYNAM,0.008,2008,economics
WORLD BANK ECON REV,0.004,2008,economics
J ECON GEOGR,0.005,2008,economics
WORLD BANK RES OBSER,0.002,2008,economics
J LAW ECON ORGAN,0.005,2008,economics
J IND ECON,0.004,2008,economics
J AGRAR CHANGE,0.001,2008,economics
J APPL ECONOM,0.009,2008,economics
J DEV ECON,0.013,2008,economics
EUR ECON REV,0.013,2008,economics
J RISK UNCERTAINTY,0.004,2008,economics
SCAND J ECON,0.006,2008,economics
J ECON MANAGE STRAT,0.005,2008,economics
J ENVIRON ECON MANAG,0.008,2008,economics
OXFORD ECON PAP,0.005,2008,economics
ECONOMET THEOR,0.007,2008,economics
J ECON BEHAV ORGAN,0.013,2008,economics
J URBAN ECON,0.008,2008,economics
ECON GEOGR,0.002,2008,economics
WORLD DEV,0.015,2008,economics
J ECON SURV,0.003,2008,economics
J COMP ECON,0.005,2008,economics
J ECON HIST,0.004,2008,economics
RESOUR ENERGY ECON,0.002,2008,economics
INT J IND ORGAN,0.007,2008,economics
OXFORD REV ECON POL,0.004,2008,economics
LABOUR ECON,0.005,2008,economics
EXPLOR ECON HIST,0.003,2008,economics
J POLICY REFORM,0.001,2008,economics
FED RESERVE BANK ST,0.002,2008,economics
IND CORP CHANGE,0.004,2008,economics
ECON SOC,0.003,2008,economics
REG SCI URBAN ECON,0.004,2008,economics
J POLICY ANAL MANAG,0.004,2008,economics
ECON HIST REV,0.002,2008,economics
ECON INQ,0.005,2008,economics
J ECON DYN CONTROL,0.011,2008,economics
IMF STAFF PAPERS,0.003,2008,economics
ECON DEV CULT CHANGE,0.003,2008,economics
ENERG ECON,0.005,2008,economics
J POPUL ECON,0.004,2008,economics
ECON THEOR,0.011,2008,economics
LAND ECON,0.003,2008,economics
CAN J ECON,0.005,2008,economics
JCMS-J COMMON MARK S,0.004,2008,economics
ECONOMICA,0.003,2008,economics
ECON EDUC REV,0.005,2008,economics
WORK EMPLOY SOC,0.003,2008,economics
EMPIR ECON,0.003,2008,economics
INT J FORECASTING,0.004,2008,economics
ECON TRANSIT,0.002,2008,economics
CESIFO ECON STUD,0.001,2008,economics
REV DEV ECON,0.002,2008,economics
REV INT POLIT ECON,0.003,2008,economics
J REGUL ECON,0.002,2008,economics
ENVIRON RESOUR ECON,0.006,2008,economics
WORLD ECON,0.006,2008,economics
J ECON PSYCHOL,0.003,2008,economics
MACROECON DYN,0.002,2008,economics
J DEV STUD,0.004,2008,economics
J HOUS ECON,0.001,2008,economics
INT TAX PUBLIC FINAN,0.002,2008,economics
J TRANSP ECON POLICY,0.001,2008,economics
J REGIONAL SCI,0.002,2008,economics
POST-SOV AFF,0.001,2008,economics
AUST ECON HIST REV,0.001,2008,economics
J BANK FINANC,0.009,2008,economics
J EVOL ECON,0.002,2008,economics
REV INCOME WEALTH,0.002,2008,economics
KYKLOS,0.002,2008,economics
REAL ESTATE ECON,0.001,2008,economics
AUST ECON REV,0.001,2008,economics
J PROD ANAL,0.002,2008,economics
CHINA ECON REV,0.001,2008,economics
REV WORLD ECON,0.002,2008,economics
STUD NONLINEAR DYN E,0.001,2008,economics
ECON LETT,0.015,2008,economics
J RISK INSUR,0.002,2008,economics
SOUTH ECON J,0.003,2008,economics
J MACROECON,0.002,2008,economics
THEOR DECIS,0.002,2008,economics
J REAL ESTATE RES,0.001,2008,economics
PUBLIC CHOICE,0.005,2008,economics
ECON PHILOS,0.001,2008,economics
FEM ECON,0.001,2008,economics
REV IND ORGAN,0.002,2008,economics
SOC CHOICE WELFARE,0.003,2008,economics
J ECON,0.002,2008,economics
CAMB J ECON,0.002,2008,economics
J REAL ESTATE FINANC,0.002,2008,economics
CONTEMP ECON POLICY,0.002,2008,economics
PORT ECON J,0.001,2008,economics
J INST THEOR ECON,0.002,2008,economics
ECON REC,0.002,2008,economics
NATL TAX J,0.002,2008,economics
EUROPE-ASIA STUD,0.002,2008,economics
NEW POLIT ECON,0.001,2008,economics
SMALL BUS ECON,0.002,2008,economics
GENEVA RISK INS REV,0.001,2008,economics
INF ECON POLICY,0.001,2008,economics
JPN ECON REV,0.001,2008,economics
FISC STUD,0.001,2008,economics
J JPN INT ECON,0.001,2008,economics
HIST POLIT ECON,0.001,2008,economics
MANCH SCH,0.002,2008,economics
SCOT J POLIT ECON,0.001,2008,economics
FINANZARCHIV,0.001,2008,economics
ECON MODEL,0.002,2008,economics
PAC ECON REV,0.001,2008,economics
OPEN ECON REV,0.001,2008,economics
SPAN ECON REV,0.001,2008,economics
J AFR ECON,0.001,2008,economics
INDEP REV,0.001,2008,economics
APPL ECON,0.007,2008,economics
B INDONES ECON STUD,0.001,2008,economics
FUTURES,0.002,2008,economics
TIJDSCHR ECON SOC GE,0.001,2008,economics
ECON DEV Q,0.001,2008,economics
EMERG MARK FINANC TR,0.001,2008,economics
INT REV LAW ECON,0.001,2008,economics
INVEST ECON-SPAIN,0.001,2008,economics
J POLICY MODEL,0.001,2008,economics
EUR J HIST ECON THOU,0.001,2008,economics
J APPL ECON,0.001,2008,economics
INT J TRANSP ECON,0.001,2008,economics
APPL ECON LETT,0.004,2008,economics
ECONOMIST-NETHERLAND,0.001,2008,economics
DEV ECON,0.001,2008,economics
CHINA WORLD ECON,0.001,2008,economics
JPN WORLD ECON,0.001,2008,economics
AM J ECON SOCIOL,0.001,2008,economics
POST-COMMUNIST ECON,0.001,2008,economics
J ECON EDUC,0.001,2008,economics
DEFENCE PEACE ECON,0.001,2008,economics
REV ECON POLIT,0.001,2008,economics
J ECON ISSUES,0.001,2008,economics
HACIENDA PUBLICA ESP,0.001,2008,economics
J ECON POLICY REFORM,0.001,2008,economics
EASTERN EUR ECON,0.001,2008,economics
J MEDIA ECON,0.001,2008,economics
S AFR J ECON,0.001,2008,economics
S AFR J ECON MANAG S,0.001,2008,economics
REV ECON APL-SPAIN,0.001,2008,economics
J POST KEYNESIAN EC,0.001,2008,economics
DESARROLLO ECON,0.001,2008,economics
HITOTSUB J ECON,0.001,2008,economics
INVEST ECON-MEX,0.001,2008,economics
JAHRB NATL STAT,0.001,2008,economics
TRIMEST ECON,0.001,2008,economics
REV ETUD COMP EST-O,0.001,2008,economics
POLIT EKON,0.001,2008,economics
TRANSFORM BUS ECON,0.001,2008,economics
EKON CAS,0.001,2008,economics
EKON SAMF TIDSKR,0.001,2008,economics
Q J ECON,0.05,2009,economics
J POLIT ECON,0.041,2009,economics
J ECON LIT,0.015,2009,economics
ECONOMETRICA,0.043,2009,economics
J FINANC,0.067,2009,economics
J FINANC ECONOMET,0.006,2009,economics
J FINANC ECON,0.06,2009,economics
REV ECON STUD,0.03,2009,economics
J ECON GROWTH,0.007,2009,economics
J ECON PERSPECT,0.024,2009,economics
AM ECON REV,0.095,2009,economics
REV ECON STAT,0.029,2009,economics
J ACCOUNT ECON,0.012,2009,economics
J LABOR ECON,0.009,2009,economics
J EUR ECON ASSOC,0.017,2009,economics
BROOKINGS PAP ECO AC,0.003,2009,economics
EXP ECON,0.007,2009,economics
J FINANC QUANT ANAL,0.012,2009,economics
RAND J ECON,0.015,2009,economics
INT FINANC,0.002,2009,economics
J MONETARY ECON,0.024,2009,economics
J HUM RESOUR,0.01,2009,economics
ECON J,0.023,2009,economics
J INT ECON,0.017,2009,economics
J LAW ECON,0.006,2009,economics
INT ECON REV,0.012,2009,economics
ECON POLICY,0.004,2009,economics
REV ECON DYNAM,0.009,2009,economics
J LAW ECON ORGAN,0.005,2009,economics
J ECON THEORY,0.023,2009,economics
J PUBLIC ECON,0.025,2009,economics
J IND ECON,0.005,2009,economics
QME-QUANT MARK ECON,0.002,2009,economics
J MONEY CREDIT BANK,0.015,2009,economics
GAME ECON BEHAV,0.017,2009,economics
J APPL ECONOMET,0.01,2009,economics
J DEV ECON,0.014,2009,economics
WORLD BANK RES OBSER,0.002,2009,economics
J ECON GEOGR,0.005,2009,economics
EUR ECON REV,0.013,2009,economics
ECONOMET THEOR,0.009,2009,economics
WORLD BANK ECON REV,0.003,2009,economics
J RISK UNCERTAINTY,0.004,2009,economics
J URBAN ECON,0.009,2009,economics
J ENVIRON ECON MANAG,0.007,2009,economics
EUR REV ECON HIST,0.001,2009,economics
OXFORD ECON PAP,0.005,2009,economics
REV ENV ECON POLICY,0.001,2009,economics
J AGRAR CHANGE,0.001,2009,economics
J ECON SURV,0.003,2009,economics
J ECON BEHAV ORGAN,0.014,2009,economics
ECON DEV CULT CHANGE,0.004,2009,economics
EUR J HEALTH ECON,0.002,2009,economics
J PUBLIC ECON THEORY,0.003,2009,economics
INT J IND ORGAN,0.008,2009,economics
IND CORP CHANGE,0.005,2009,economics
ECON SOC,0.003,2009,economics
J POLICY ANAL MANAG,0.004,2009,economics
LABOUR ECON,0.005,2009,economics
J ECON MANAGE STRAT,0.004,2009,economics
WORLD DEV,0.013,2009,economics
ECON J WATCH,0.001,2009,economics
SCAND J ECON,0.004,2009,economics
ECONOMICA,0.004,2009,economics
INT J FORECASTING,0.005,2009,economics
J ECON DYN CONTROL,0.012,2009,economics
ECON GEOGR,0.002,2009,economics
J ECON HIST,0.004,2009,economics
LAND ECON,0.004,2009,economics
REG SCI URBAN ECON,0.004,2009,economics
J COMP ECON,0.004,2009,economics
ECON THEOR,0.011,2009,economics
J CULT ECON,0.001,2009,economics
ENERG ECON,0.008,2009,economics
RESOUR ENERGY ECON,0.002,2009,economics
J POPUL ECON,0.004,2009,economics
J SPORT ECON,0.001,2009,economics
ECON INQ,0.005,2009,economics
REAL ESTATE ECON,0.002,2009,economics
OXFORD REV ECON POL,0.003,2009,economics
ENVIRON RESOUR ECON,0.007,2009,economics
ECON TRANSIT,0.002,2009,economics
BE J MACROECON,0.001,2009,economics
FED RESERVE BANK ST,0.002,2009,economics
REV INT POLIT ECON,0.003,2009,economics
GER ECON REV,0.001,2009,economics
J BANK FINANC,0.013,2009,economics
WORK EMPLOY SOC,0.003,2009,economics
ASIAN-PAC ECON LIT,0.001,2009,economics
IMF STAFF PAPERS,0.002,2009,economics
BE J ECON ANAL POLI,0.002,2009,economics
J REGIONAL SCI,0.003,2009,economics
J ECON PSYCHOL,0.004,2009,economics
FEM ECON,0.002,2009,economics
INT TAX PUBLIC FINAN,0.003,2009,economics
